Active Velocity,Angular diffusion coefficient,Average energy per agent
0.001,0.01,0.168779
0.001,0.0158489,0.141076
0.001,0.0251189,0.1962
0.001,0.0398107,0.166095
0.001,0.0630957,0.185223
0.001,0.1,0.212139
0.001,0.158489,0.200839
0.001,0.251189,0.237294
0.001,0.398107,0.164021
0.001,0.630957,0.140525
0.001,1,0.203793
0.001,1.58489,0.164709
0.001,2.51189,0.180082
0.001,3.98107,0.217626
0.001,6.30957,0.207217
0.001,10,0.216988
0.001,15.8489,0.183443
0.001,25.1189,0.215714
0.001,39.8107,0.177997
0.001,63.0957,0.191852
0.001,100,0.224725
0.00158489,0.01,0.156792
0.00158489,0.0158489,0.165495
0.00158489,0.0251189,0.168218
0.00158489,0.0398107,0.164546
0.00158489,0.0630957,0.180704
0.00158489,0.1,0.184519
0.00158489,0.158489,0.187679
0.00158489,0.251189,0.194075
0.00158489,0.398107,0.178315
0.00158489,0.630957,0.16342
0.00158489,1,0.201257
0.00158489,1.58489,0.18215
0.00158489,2.51189,0.174886
0.00158489,3.98107,0.156019
0.00158489,6.30957,0.184707
0.00158489,10,0.191569
0.00158489,15.8489,0.227008
0.00158489,25.1189,0.210119
0.00158489,39.8107,0.143299
0.00158489,63.0957,0.184738
0.00158489,100,0.160942
0.00251189,0.01,0.145067
0.00251189,0.0158489,0.15433
0.00251189,0.0251189,0.143254
0.00251189,0.0398107,0.156909
0.00251189,0.0630957,0.179818
0.00251189,0.1,0.173616
0.00251189,0.158489,0.162458
0.00251189,0.251189,0.148894
0.00251189,0.398107,0.145694
0.00251189,0.630957,0.173224
0.00251189,1,0.177904
0.00251189,1.58489,0.220851
0.00251189,2.51189,0.235034
0.00251189,3.98107,0.14876
0.00251189,6.30957,0.154685
0.00251189,10,0.185702
0.00251189,15.8489,0.219633
0.00251189,25.1189,0.172277
0.00251189,39.8107,0.207489
0.00251189,63.0957,0.216201
0.00251189,100,0.204538
0.00398107,0.01,0.146919
0.00398107,0.0158489,0.13957
0.00398107,0.0251189,0.143237
0.00398107,0.0398107,0.157023
0.00398107,0.0630957,0.166425
