Active Velocity,Angular diffusion coefficient,Average energy per patch
0.001,0.01,0.392412
0.001,0.0158489,0.433435
0.001,0.0251189,0.407784
0.001,0.0398107,0.447702
0.001,0.0630957,0.43307
0.001,0.1,0.434828
0.001,0.158489,0.459248
0.001,0.251189,0.424123
0.001,0.398107,0.476144
0.001,0.630957,0.491651
0.001,1,0.451457
0.001,1.58489,0.479921
0.001,2.51189,0.488236
0.001,3.98107,0.453098
0.001,6.30957,0.436315
0.001,10,0.435268
0.001,15.8489,0.475159
0.001,25.1189,0.424078
0.001,39.8107,0.472226
0.001,63.0957,0.450666
0.001,100,0.438762
0.00158489,0.01,0.369323
0.00158489,0.0158489,0.396577
0.00158489,0.0251189,0.410375
0.00158489,0.0398107,0.42161
0.00158489,0.0630957,0.441042
0.00158489,0.1,0.421664
0.00158489,0.158489,0.444362
0.00158489,0.251189,0.40995
0.00158489,0.398107,0.466712
0.00158489,0.630957,0.470486
0.00158489,1,0.444606
0.00158489,1.58489,0.464611
0.00158489,2.51189,0.490037
0.00158489,3.98107,0.510194
0.00158489,6.30957,0.47497
0.00158489,10,0.499529
0.00158489,15.8489,0.435457
0.00158489,25.1189,0.437646
0.00158489,39.8107,0.53582
0.00158489,63.0957,0.499307
0.00158489,100,0.490161
0.00251189,0.01,0.357127
0.00251189,0.0158489,0.372687
0.00251189,0.0251189,0.393888
0.00251189,0.0398107,0.395714
0.00251189,0.0630957,0.384277
0.00251189,0.1,0.406812
0.00251189,0.158489,0.419543
0.00251189,0.251189,0.469935
0.00251189,0.398107,0.482791
0.00251189,0.630957,0.441676
0.00251189,1,0.434937
0.00251189,1.58489,0.428128
0.00251189,2.51189,0.446585
0.00251189,3.98107,0.481359
0.00251189,6.30957,0.493562
0.00251189,10,0.509757
0.00251189,15.8489,0.457203
0.00251189,25.1189,0.488725
0.00251189,39.8107,0.441437
0.00251189,63.0957,0.455914
0.00251189,100,0.448231
0.00398107,0.01,0.343311
0.00398107,0.0158489,0.359625
0.00398107,0.0251189,0.367345
0.00398107,0.0398107,0.380763
0.00398107,0.0630957,0.391121
0.00398107,0.1,0.389059
0.00398107,0.158489,0.414719
0.00398107,0.251189,0.452029
0.00398107,0.398107,0.442017
0.00398107,0.630957,0.42737
0.00398107,1,0.473903
0.00398107,1.58489,0.440146
0.00398107,2.51189,0.448521
0.00398107,3.98107,0.450033
