Active Velocity,Angular diffusion coefficient,Average energy per agent
0.001,0.01,0.662325
0.001,0.0158489,0.663605
0.001,0.0251189,0.663813
0.001,0.0398107,0.665094
0.001,0.0630957,0.665347
0.001,0.1,0.665656
0.001,0.158489,0.665901
0.001,0.251189,0.666106
0.001,0.398107,0.666198
0.001,0.630957,0.666405
0.001,1,0.666464
0.001,1.58489,0.666633
0.001,2.51189,0.666444
0.001,3.98107,0.666336
0.001,6.30957,0.666542
0.001,10,0.666505
0.001,15.8489,0.666377
0.001,25.1189,0.666502
0.001,39.8107,0.666524
0.001,63.0957,0.666506
0.001,100,0.666502
0.00158489,0.01,0.660046
0.00158489,0.0158489,0.661379
0.00158489,0.0251189,0.658139
0.00158489,0.0398107,0.662039
0.00158489,0.0630957,0.663738
0.00158489,0.1,0.664921
0.00158489,0.158489,0.665528
0.00158489,0.251189,0.665414
0.00158489,0.398107,0.666175
0.00158489,0.630957,0.666399
0.00158489,1,0.66595
0.00158489,1.58489,0.666284
0.00158489,2.51189,0.666388
0.00158489,3.98107,0.666464
0.00158489,6.30957,0.666222
0.00158489,10,0.666519
0.00158489,15.8489,0.666504
0.00158489,25.1189,0.666521
0.00158489,39.8107,0.666494
0.00158489,63.0957,0.666522
0.00158489,100,0.666506
0.00251189,0.01,0.08156
0.00251189,0.0158489,0.648869
0.00251189,0.0251189,0.656493
0.00251189,0.0398107,0.658887
0.00251189,0.0630957,0.661445
0.00251189,0.1,0.66302
0.00251189,0.158489,0.665196
0.00251189,0.251189,0.665117
0.00251189,0.398107,0.665871
0.00251189,0.630957,0.666268
0.00251189,1,0.666134
0.00251189,1.58489,0.665975
0.00251189,2.51189,0.666152
0.00251189,3.98107,0.666302
0.00251189,6.30957,0.666472
0.00251189,10,0.666515
0.00251189,15.8489,0.666462
0.00251189,25.1189,0.666476
0.00251189,39.8107,0.666514
0.00251189,63.0957,0.666409
0.00251189,100,0.666363
0.00398107,0.01,0
0.00398107,0.0158489,0.599331
0.00398107,0.0251189,0.626748
0.00398107,0.0398107,0.592395
0.00398107,0.0630957,0.660553
0.00398107,0.1,0.659663
0.00398107,0.158489,0.6604
0.00398107,0.251189,0.664846
0.00398107,0.398107,0.6646
0.00398107,0.630957,0.66435
0.00398107,1,0.665775
0.00398107,1.58489,0.665516
0.00398107,2.51189,0.665871
0.00398107,3.98107,0.665891
0.00398107,6.30957,0.666323
0.00398107,10,0.666555
0.00398107,15.8489,0.666493
0.00398107,25.1189,0.666426
0.00398107,39.8107,0.666435
0.00398107,63.0957,0.666451
0.00398107,100,0.666514
0.00630957,0.01,0
0.00630957,0.0158489,0
0.00630957,0.0251189,0.0502869
0.00630957,0.0398107,0
0.00630957,0.0630957,0.419971
0.00630957,0.1,0.656802
0.00630957,0.158489,0.652388
0.00630957,0.251189,0.658187
0.00630957,0.398107,0.663061
0.00630957,0.630957,0.662922
0.00630957,1,0.664343
0.00630957,1.58489,0.665009
0.00630957,2.51189,0.665889
0.00630957,3.98107,0.666178
0.00630957,6.30957,0.665939
0.00630957,10,0.666126
0.00630957,15.8489,0.666484
0.00630957,25.1189,0.666271
0.00630957,39.8107,0.666547
0.00630957,63.0957,0.666264
0.00630957,100,0.666539
0.01,0.01,0
0.01,0.0158489,0
0.01,0.0251189,0
0.01,0.0398107,0
0.01,0.0630957,0.0619134
0.01,0.1,0.22344
0.01,0.158489,0.652462
0.01,0.251189,0.648035
0.01,0.398107,0.655216
0.01,0.630957,0.660932
0.01,1,0.66052
0.01,1.58489,0.662609
0.01,2.51189,0.664742
0.01,3.98107,0.665115
0.01,6.30957,0.665984
0.01,10,0.665953
0.01,15.8489,0.666014
0.01,25.1189,0.666262
0.01,39.8107,0.666238
0.01,63.0957,0.666307
0.01,100,0.666334
0.0158489,0.01,0.517297
0.0158489,0.0158489,0.529482
0.0158489,0.0251189,0.269507
0.0158489,0.0398107,0.0986126
0.0158489,0.0630957,0.416099
0.0158489,0.1,0
0.0158489,0.158489,0.18865
0.0158489,0.251189,0.194318
0.0158489,0.398107,0.193466
0.0158489,0.630957,0.654777
0.0158489,1,0.658653
0.0158489,1.58489,0.659594
0.0158489,2.51189,0.661197
0.0158489,3.98107,0.662393
0.0158489,6.30957,0.664869
0.0158489,10,0.664493
0.0158489,15.8489,0.66543
0.0158489,25.1189,0.665992
0.0158489,39.8107,0.66613
0.0158489,63.0957,0.665801
0.0158489,100,0.666207
0.0251189,0.01,0.487474
0.0251189,0.0158489,0.4974
0.0251189,0.0251189,0.506911
0.0251189,0.0398107,0.524012
0.0251189,0.0630957,0.541523
0.0251189,0.1,0.481522
0.0251189,0.158489,0
0.0251189,0.251189,0.0355698
0.0251189,0.398107,0.270031
0.0251189,0.630957,0.477792
0.0251189,1,0.322872
0.0251189,1.58489,0.589141
0.0251189,2.51189,0.657052
0.0251189,3.98107,0.659669
0.0251189,6.30957,0.661039
0.0251189,10,0.664339
0.0251189,15.8489,0.664439
0.0251189,25.1189,0.664803
0.0251189,39.8107,0.664952
0.0251189,63.0957,0.665241
0.0251189,100,0.665578
0.0398107,0.01,0.464192
0.0398107,0.0158489,0.472516
0.0398107,0.0251189,0.478957
0.0398107,0.0398107,0.488562
0.0398107,0.0630957,0.505698
0.0398107,0.1,0.519396
0.0398107,0.158489,0.536451
0.0398107,0.251189,0.0712495
0.0398107,0.398107,0
0.0398107,0.630957,0.222155
0.0398107,1,0.0823939
0.0398107,1.58489,0.387446
0.0398107,2.51189,0.396127
0.0398107,3.98107,0.648006
0.0398107,6.30957,0.654727
0.0398107,10,0.656328
0.0398107,15.8489,0.661605
0.0398107,25.1189,0.662256
0.0398107,39.8107,0.662758
0.0398107,63.0957,0.663608
0.0398107,100,0.663976
0.0630957,0.01,0.444145
0.0630957,0.0158489,0.451396
0.0630957,0.0251189,0.459308
0.0630957,0.0398107,0.467974
0.0630957,0.0630957,0.477948
0.0630957,0.1,0.488989
0.0630957,0.158489,0.505324
0.0630957,0.251189,0.518578
0.0630957,0.398107,0.539653
0.0630957,0.630957,0.00430753
0.0630957,1,0.528807
0.0630957,1.58489,0.0844599
0.0630957,2.51189,0.317928
0.0630957,3.98107,0.301373
0.0630957,6.30957,0.654919
0.0630957,10,0.652193
0.0630957,15.8489,0.654227
0.0630957,25.1189,0.653927
0.0630957,39.8107,0.660087
0.0630957,63.0957,0.658324
0.0630957,100,0.661447
0.1,0.01,0.43094
0.1,0.0158489,0.437011
0.1,0.0251189,0.443583
0.1,0.0398107,0.44871
0.1,0.0630957,0.457893
0.1,0.1,0.467566
0.1,0.158489,0.476357
0.1,0.251189,0.49013
0.1,0.398107,0.503353
0.1,0.630957,0.521458
0.1,1,0.539585
0.1,1.58489,0.572942
0.1,2.51189,0.334177
0.1,3.98107,0.542552
0.1,6.30957,0
0.1,10,0.028835
0.1,15.8489,0.482139
0.1,25.1189,0.628285
0.1,39.8107,0.653185
0.1,63.0957,0.645036
0.1,100,0.65848
0.158489,0.01,0.424298
0.158489,0.0158489,0.428445
0.158489,0.0251189,0.43204
0.158489,0.0398107,0.437634
0.158489,0.0630957,0.443699
0.158489,0.1,0.447556
0.158489,0.158489,0.455059
0.158489,0.251189,0.466381
0.158489,0.398107,0.476877
0.158489,0.630957,0.490412
0.158489,1,0.503992
0.158489,1.58489,0.521228
0.158489,2.51189,0.53891
0.158489,3.98107,0.546368
0.158489,6.30957,0.505733
0.158489,10,0.247882
0.158489,15.8489,0.0777643
0.158489,25.1189,0.222771
0.158489,39.8107,0.187505
0.158489,63.0957,0.644266
0.158489,100,0.643568
0.251189,0.01,0.407957
0.251189,0.0158489,0.425084
0.251189,0.0251189,0.428225
0.251189,0.0398107,0.431593
0.251189,0.0630957,0.434631
0.251189,0.1,0.43906
0.251189,0.158489,0.445329
0.251189,0.251189,0.449388
0.251189,0.398107,0.4585
0.251189,0.630957,0.46666
0.251189,1,0.479309
0.251189,1.58489,0.490326
0.251189,2.51189,0.507296
0.251189,3.98107,0.524377
0.251189,6.30957,0.540571
0.251189,10,0.0141663
0.251189,15.8489,0
0.251189,25.1189,0
0.251189,39.8107,0.242362
0.251189,63.0957,0
0.251189,100,0.326305
0.398107,0.01,0.418725
0.398107,0.0158489,0.415368
0.398107,0.0251189,0.423498
0.398107,0.0398107,0.428741
0.398107,0.0630957,0.435157
0.398107,0.1,0.438242
0.398107,0.158489,0.439175
0.398107,0.251189,0.444058
0.398107,0.398107,0.448517
0.398107,0.630957,0.452348
0.398107,1,0.461086
0.398107,1.58489,0.472251
0.398107,2.51189,0.482546
0.398107,3.98107,0.495256
0.398107,6.30957,0.509289
0.398107,10,0.524736
0.398107,15.8489,0.540808
0.398107,25.1189,0.56335
0.398107,39.8107,0.569341
0.398107,63.0957,0.574203
0.398107,100,0.040748
0.630957,0.01,0.425216
0.630957,0.0158489,0.423642
0.630957,0.0251189,0.421481
0.630957,0.0398107,0.42427
0.630957,0.0630957,0.445272
0.630957,0.1,0.445738
0.630957,0.158489,0.447743
0.630957,0.251189,0.446598
0.630957,0.398107,0.451868
0.630957,0.630957,0.454276
0.630957,1,0.456966
0.630957,1.58489,0.465073
0.630957,2.51189,0.471773
0.630957,3.98107,0.481788
0.630957,6.30957,0.494001
0.630957,10,0.503443
0.630957,15.8489,0.51722
0.630957,25.1189,0.525251
0.630957,39.8107,0.535131
0.630957,63.0957,0.542
0.630957,100,0.542809
1,0.01,0.377802
1,0.0158489,0.377392
1,0.0251189,0.376688
1,0.0398107,0.374876
1,0.0630957,0.375263
1,0.1,0.436345
1,0.158489,0.456776
1,0.251189,0.470541
1,0.398107,0.465822
1,0.630957,0.468162
1,1,0.468102
1,1.58489,0.471488
1,2.51189,0.476101
1,3.98107,0.483553
1,6.30957,0.490984
1,10,0.499743
1,15.8489,0.510423
1,25.1189,0.517402
1,39.8107,0.524249
1,63.0957,0.527686
1,100,0.529811
1.58489,0.01,0.234677
1.58489,0.0158489,0.234611
1.58489,0.0251189,0.234622
1.58489,0.0398107,0.23401
1.58489,0.0630957,0.258836
1.58489,0.1,0.318922
1.58489,0.158489,0.376226
1.58489,0.251189,0.453577
1.58489,0.398107,0.501884
1.58489,0.630957,0.489279
1.58489,1,0.494379
1.58489,1.58489,0.492452
1.58489,2.51189,0.50017
1.58489,3.98107,0.50334
1.58489,6.30957,0.507756
1.58489,10,0.516291
1.58489,15.8489,0.524399
1.58489,25.1189,0.532354
1.58489,39.8107,0.537636
1.58489,63.0957,0.538905
1.58489,100,0.541995
