Active Velocity,Angular diffusion coefficient,Average population per patch
0.001,0.01,0.12116222222222223
0.001,0.0158489,0.19311644444444445
0.001,0.0251189,0.21697866666666665
0.001,0.0398107,0.27320577777777777
0.001,0.0630957,0.2961506666666667
0.001,0.1,0.3019493333333333
0.001,0.158489,0.33187244444444447
0.001,0.251189,0.3412151111111111
0.001,0.398107,0.3256182222222222
0.001,0.630957,0.36027377777777775
0.001,1,0.32719733333333334
0.001,1.58489,0.43375555555555556
0.001,2.51189,0.2801524444444444
0.001,3.98107,0.194468
0.001,6.30957,0.2732337777777778
0.001,10,0.3022222222222222
0.001,15.8489,0.40896933333333335
0.001,25.1189,0.3111111111111111
0.001,39.8107,0.36
0.001,63.0957,0.3022222222222222
0.001,100,0.3111111111111111
0.00158489,0.01,0.038425777777777774
0.00158489,0.0158489,0.07297422222222222
0.00158489,0.0251189,0.07711377777777778
0.00158489,0.0398107,0.14439466666666664
0.00158489,0.0630957,0.1915848888888889
0.00158489,0.1,0.24665866666666666
0.00158489,0.158489,0.25186355555555556
0.00158489,0.251189,0.24602844444444444
0.00158489,0.398107,0.277008
0.00158489,0.630957,0.32806044444444443
0.00158489,1,0.2888648888888889
0.00158489,1.58489,0.3762542222222222
0.00158489,2.51189,0.35514533333333337
0.00158489,3.98107,0.3249755555555556
0.00158489,6.30957,0.39818844444444446
0.00158489,10,0.34596177777777776
0.00158489,15.8489,0.3111111111111111
0.00158489,25.1189,0.3322928888888889
0.00158489,39.8107,0.3720791111111111
0.00158489,63.0957,0.3749608888888889
0.00158489,100,0.2577777777777778
0.00251189,0.01,0.0016084444444444445
0.00251189,0.0158489,0.022238666666666667
0.00251189,0.0251189,0.05529511111111111
0.00251189,0.0398107,0.09245066666666667
0.00251189,0.0630957,0.1252
0.00251189,0.1,0.14152577777777778
0.00251189,0.158489,0.2534231111111111
0.00251189,0.251189,0.2573031111111111
0.00251189,0.398107,0.33836577777777777
0.00251189,0.630957,0.34614755555555554
0.00251189,1,0.3732062222222222
0.00251189,1.58489,0.3415835555555556
0.00251189,2.51189,0.3239151111111111
0.00251189,3.98107,0.40915555555555555
0.00251189,6.30957,0.37406222222222224
0.00251189,10,0.31702577777777774
0.00251189,15.8489,0.3256142222222222
0.00251189,25.1189,0.37046444444444443
0.00251189,39.8107,0.34372755555555556
0.00251189,63.0957,0.3580506666666667
0.00251189,100,0.3236488888888889
0.00398107,0.01,0.0
0.00398107,0.0158489,0.008586222222222223
0.00398107,0.0251189,0.007416444444444445
0.00398107,0.0398107,0.02817688888888889
0.00398107,0.0630957,0.04987333333333334
0.00398107,0.1,0.08634533333333334
0.00398107,0.158489,0.17463866666666666
0.00398107,0.251189,0.19058177777777777
0.00398107,0.398107,0.227348
0.00398107,0.630957,0.2865977777777778
0.00398107,1,0.34010266666666666
0.00398107,1.58489,0.2945608888888889
0.00398107,2.51189,0.3283106666666667
0.00398107,3.98107,0.2896613333333333
0.00398107,6.30957,0.3062737777777778
0.00398107,10,0.411288
0.00398107,15.8489,0.35036266666666666
0.00398107,25.1189,0.348604
0.00398107,39.8107,0.372156
0.00398107,63.0957,0.3537875555555555
0.00398107,100,0.3392777777777778
0.00630957,0.01,0.0
0.00630957,0.0158489,0.0
0.00630957,0.0251189,0.0007897777777777778
0.00630957,0.0398107,0.0
0.00630957,0.0630957,0.00977911111111111
0.00630957,0.1,0.031047555555555554
0.00630957,0.158489,0.063368
0.00630957,0.251189,0.06390755555555556
0.00630957,0.398107,0.08627733333333334
0.00630957,0.630957,0.10775777777777777
0.00630957,1,0.21267955555555554
0.00630957,1.58489,0.2857528888888889
0.00630957,2.51189,0.2512066666666667
0.00630957,3.98107,0.33752977777777776
0.00630957,6.30957,0.3424368888888889
0.00630957,10,0.32471733333333336
0.00630957,15.8489,0.27943333333333337
0.00630957,25.1189,0.29637688888888886
0.00630957,39.8107,0.3610586666666667
0.00630957,63.0957,0.3492226666666667
0.00630957,100,0.2766311111111111
0.01,0.01,0.0
0.01,0.0158489,0.0
0.01,0.0251189,0.0
0.01,0.0398107,0.0
0.01,0.0630957,0.0012484444444444444
0.01,0.1,0.0040048888888888886
0.01,0.158489,0.010032000000000001
0.01,0.251189,0.03813555555555556
0.01,0.398107,0.05531777777777778
0.01,0.630957,0.08284044444444444
0.01,1,0.14578711111111112
0.01,1.58489,0.20834488888888889
0.01,2.51189,0.25625644444444445
0.01,3.98107,0.2538973333333333
0.01,6.30957,0.3229568888888889
0.01,10,0.35728266666666664
0.01,15.8489,0.3427262222222222
0.01,25.1189,0.37275244444444444
0.01,39.8107,0.38105911111111107
0.01,63.0957,0.35276444444444444
0.01,100,0.31843688888888894
0.0158489,0.01,0.24002222222222222
0.0158489,0.0158489,0.06931511111111112
0.0158489,0.0251189,0.006912444444444444
0.0158489,0.0398107,0.004866222222222222
0.0158489,0.0630957,0.011196888888888888
0.0158489,0.1,0.0
0.0158489,0.158489,0.004067555555555556
0.0158489,0.251189,0.007538666666666667
0.0158489,0.398107,0.005654222222222222
0.0158489,0.630957,0.044027111111111114
0.0158489,1,0.06357866666666666
0.0158489,1.58489,0.07471199999999999
0.0158489,2.51189,0.16697066666666666
0.0158489,3.98107,0.22440000000000002
0.0158489,6.30957,0.241488
0.0158489,10,0.202716
0.0158489,15.8489,0.2637151111111111
0.0158489,25.1189,0.3193995555555556
0.0158489,39.8107,0.33994711111111114
0.0158489,63.0957,0.36204888888888886
0.0158489,100,0.31639733333333336
0.0251189,0.01,0.5840844444444445
0.0251189,0.0158489,0.5001422222222222
0.0251189,0.0251189,0.38811599999999996
0.0251189,0.0398107,0.33091688888888887
0.0251189,0.0630957,0.06986177777777777
0.0251189,0.1,0.019981333333333334
0.0251189,0.158489,0.0
0.0251189,0.251189,0.0005955555555555556
0.0251189,0.398107,0.009300888888888888
0.0251189,0.630957,0.013222666666666666
0.0251189,1,0.009070666666666668
0.0251189,1.58489,0.026352
0.0251189,2.51189,0.049160888888888886
0.0251189,3.98107,0.1453631111111111
0.0251189,6.30957,0.14589466666666667
0.0251189,10,0.12056133333333334
0.0251189,15.8489,0.213696
0.0251189,25.1189,0.2379631111111111
0.0251189,39.8107,0.28333155555555556
0.0251189,63.0957,0.28461733333333333
0.0251189,100,0.25380355555555556
0.0398107,0.01,0.7725955555555556
0.0398107,0.0158489,0.7390133333333333
0.0398107,0.0251189,0.6874711111111111
0.0398107,0.0398107,0.6193866666666666
0.0398107,0.0630957,0.5221066666666667
0.0398107,0.1,0.4038684444444445
0.0398107,0.158489,0.15219955555555556
0.0398107,0.251189,0.0033773333333333333
0.0398107,0.398107,0.0
0.0398107,0.630957,0.008991555555555555
0.0398107,1,0.003267111111111111
0.0398107,1.58489,0.013616888888888888
0.0398107,2.51189,0.008603111111111112
0.0398107,3.98107,0.03072977777777778
0.0398107,6.30957,0.0830808888888889
0.0398107,10,0.09627111111111111
0.0398107,15.8489,0.16282355555555555
0.0398107,25.1189,0.13814355555555555
0.0398107,39.8107,0.16879733333333333
0.0398107,63.0957,0.2504831111111111
0.0398107,100,0.22271288888888888
0.0630957,0.01,0.9118355555555556
0.0630957,0.0158489,0.8835022222222223
0.0630957,0.0251189,0.8466044444444444
0.0630957,0.0398107,0.7967066666666666
