Active Velocity,Angular diffusion coefficient,Average energy per patch
0.001,0.01,0.919046
0.001,0.0158489,0.871139
0.001,0.0251189,0.85528
0.001,0.0398107,0.8178
0.001,0.0630957,0.80251
0.001,0.1,0.798631
0.001,0.158489,0.778692
0.001,0.251189,0.772499
0.001,0.398107,0.782888
0.001,0.630957,0.75971
0.001,1,0.781848
0.001,1.58489,0.710773
0.001,2.51189,0.813246
0.001,3.98107,0.870313
0.001,6.30957,0.817907
0.001,10,0.798434
0.001,15.8489,0.727328
0.001,25.1189,0.792504
0.001,39.8107,0.759891
0.001,63.0957,0.798434
0.001,100,0.792504
0.00158489,0.01,0.974375
0.00158489,0.0158489,0.95125
0.00158489,0.0251189,0.948513
0.00158489,0.0398107,0.903632
0.00158489,0.0630957,0.87218
0.00158489,0.1,0.835464
0.00158489,0.158489,0.831982
0.00158489,0.251189,0.83588
0.00158489,0.398107,0.815355
0.00158489,0.630957,0.781293
0.00158489,1,0.807437
0.00158489,1.58489,0.74907
0.00158489,2.51189,0.76314
0.00158489,3.98107,0.783333
0.00158489,6.30957,0.734552
0.00158489,10,0.769407
0.00158489,15.8489,0.792504
0.00158489,25.1189,0.778497
0.00158489,39.8107,0.751898
0.00158489,63.0957,0.749946
0.00158489,100,0.828123
0.00251189,0.01,0.998926
0.00251189,0.0158489,0.985174
0.00251189,0.0251189,0.963087
0.00251189,0.0398107,0.938287
0.00251189,0.0630957,0.916375
0.00251189,0.1,0.905554
0.00251189,0.158489,0.830943
0.00251189,0.251189,0.828398
0.00251189,0.398107,0.77437
0.00251189,0.630957,0.769259
0.00251189,1,0.751095
0.00251189,1.58489,0.772225
0.00251189,2.51189,0.784
0.00251189,3.98107,0.727255
0.00251189,6.30957,0.750519
0.00251189,10,0.788595
0.00251189,15.8489,0.782906
0.00251189,25.1189,0.752939
0.00251189,39.8107,0.770878
0.00251189,63.0957,0.761355
0.00251189,100,0.784208
0.00398107,0.01,1
0.00398107,0.0158489,0.994312
0.00398107,0.0251189,0.995067
0.00398107,0.0398107,0.981161
0.00398107,0.0630957,0.966681
0.00398107,0.1,0.942344
0.00398107,0.158489,0.883454
0.00398107,0.251189,0.87287
0.00398107,0.398107,0.848374
0.00398107,0.630957,0.808881
0.00398107,1,0.773263
0.00398107,1.58489,0.803531
0.00398107,2.51189,0.781079
0.00398107,3.98107,0.80693
0.00398107,6.30957,0.795716
0.00398107,10,0.725843
0.00398107,15.8489,0.766472
0.00398107,25.1189,0.767623
0.00398107,39.8107,0.751839
0.00398107,63.0957,0.764085
0.00398107,100,0.773819
0.00630957,0.01,1
0.00630957,0.0158489,1
0.00630957,0.0251189,0.999477
0.00630957,0.0398107,1
0.00630957,0.0630957,0.99345
0.00630957,0.1,0.979246
0.00630957,0.158489,0.957681
0.00630957,0.251189,0.957242
0.00630957,0.398107,0.942461
0.00630957,0.630957,0.928061
0.00630957,1,0.858129
0.00630957,1.58489,0.80948
0.00630957,2.51189,0.832417
0.00630957,3.98107,0.774962
0.00630957,6.30957,0.771669
0.00630957,10,0.783483
0.00630957,15.8489,0.813723
0.00630957,25.1189,0.802298
0.00630957,39.8107,0.759194
0.00630957,63.0957,0.76721
0.00630957,100,0.815623
0.01,0.01,1
0.01,0.0158489,1
0.01,0.0251189,1
0.01,0.0398107,1
0.01,0.0630957,0.999167
0.01,0.1,0.997327
0.01,0.158489,0.993304
0.01,0.251189,0.974546
0.01,0.398107,0.963017
0.01,0.630957,0.944731
0.01,1,0.902737
0.01,1.58489,0.860999
0.01,2.51189,0.829071
0.01,3.98107,0.830605
0.01,6.30957,0.784624
0.01,10,0.761773
0.01,15.8489,0.771488
0.01,25.1189,0.7514
0.01,39.8107,0.745888
0.01,63.0957,0.764728
0.01,100,0.787656
0.0158489,0.01,0.839864
0.0158489,0.0158489,0.95358
0.0158489,0.0251189,0.995356
0.0158489,0.0398107,0.996752
0.0158489,0.0630957,0.992509
0.0158489,0.1,1
0.0158489,0.158489,0.997274
0.0158489,0.251189,0.994945
0.0158489,0.398107,0.996209
0.0158489,0.630957,0.970588
0.0158489,1,0.957525
0.0158489,1.58489,0.950125
0.0158489,2.51189,0.888615
0.0158489,3.98107,0.850289
0.0158489,6.30957,0.838956
0.0158489,10,0.864829
0.0158489,15.8489,0.824144
0.0158489,25.1189,0.786955
0.0158489,39.8107,0.773334
0.0158489,63.0957,0.758539
0.0158489,100,0.78898
0.0251189,0.01,0.610674
0.0251189,0.0158489,0.666679
0.0251189,0.0251189,0.741086
0.0251189,0.0398107,0.779263
0.0251189,0.0630957,0.953279
0.0251189,0.1,0.986632
0.0251189,0.158489,1
0.0251189,0.251189,0.999601
0.0251189,0.398107,0.993747
0.0251189,0.630957,0.991179
0.0251189,1,0.993918
0.0251189,1.58489,0.982385
0.0251189,2.51189,0.967128
0.0251189,3.98107,0.902992
0.0251189,6.30957,0.902653
0.0251189,10,0.919436
0.0251189,15.8489,0.857472
0.0251189,25.1189,0.841304
0.0251189,39.8107,0.811093
0.0251189,63.0957,0.810225
0.0251189,100,0.830668
0.0398107,0.01,0.484929
0.0398107,0.0158489,0.507228
0.0398107,0.0251189,0.541583
0.0398107,0.0398107,0.58705
0.0398107,0.0630957,0.651861
0.0398107,0.1,0.730801
0.0398107,0.158489,0.898468
0.0398107,0.251189,0.99772
0.0398107,0.398107,1
0.0398107,0.630957,0.993982
0.0398107,1,0.997815
0.0398107,1.58489,0.990881
0.0398107,2.51189,0.994237
0.0398107,3.98107,0.979463
0.0398107,6.30957,0.944524
0.0398107,10,0.935761
0.0398107,15.8489,0.891314
0.0398107,25.1189,0.907762
0.0398107,39.8107,0.887358
0.0398107,63.0957,0.832897
0.0398107,100,0.85149
0.0630957,0.01,0.392046
0.0630957,0.0158489,0.410886
0.0630957,0.0251189,0.435501
0.0630957,0.0398107,0.468783
0.0630957,0.0630957,0.501742
0.0630957,0.1,0.562879
0.0630957,0.158489,0.629579
0.0630957,0.251189,0.727917
0.0630957,0.398107,0.84062
0.0630957,0.630957,0.999918
0.0630957,1,0.981954
0.0630957,1.58489,0.999243
0.0630957,2.51189,0.997036
0.0630957,3.98107,0.995295
0.0630957,6.30957,0.985552
0.0630957,10,0.983904
0.0630957,15.8489,0.949877
0.0630957,25.1189,0.940408
0.0630957,39.8107,0.912093
0.0630957,63.0957,0.941614
0.0630957,100,0.898978
0.1,0.01,0.326217
0.1,0.0158489,0.341538
0.1,0.0251189,0.359843
0.1,0.0398107,0.383022
0.1,0.0630957,0.414146
0.1,0.1,0.453126
0.1,0.158489,0.489121
0.1,0.251189,0.546612
0.1,0.398107,0.611175
0.1,0.630957,0.704878
0.1,1,0.85267
0.1,1.58489,0.943234
0.1,2.51189,0.990556
0.1,3.98107,0.993107
0.1,6.30957,1
0.1,10,0.999634
0.1,15.8489,0.989006
0.1,25.1189,0.983661
0.1,39.8107,0.961857
0.1,63.0957,0.966682
0.1,100,0.959663
0.158489,0.01,0.284045
0.158489,0.0158489,0.294553
0.158489,0.0251189,0.306585
0.158489,0.0398107,0.324133
0.158489,0.0630957,0.347744
0.158489,0.1,0.370175
0.158489,0.158489,0.401332
0.158489,0.251189,0.441533
0.158489,0.398107,0.482433
0.158489,0.630957,0.536089
0.158489,1,0.593206
0.158489,1.58489,0.696121
0.158489,2.51189,0.80523
0.158489,3.98107,0.982829
0.158489,6.30957,0.970454
0.158489,10,0.990845
0.158489,15.8489,0.99959
0.158489,25.1189,0.998244
0.158489,39.8107,0.995318
0.158489,63.0957,0.988698
0.158489,100,0.988825
0.251189,0.01,0.250053
0.251189,0.0158489,0.264629
0.251189,0.0251189,0.273762
0.251189,0.0398107,0.28505
0.251189,0.0630957,0.299272
0.251189,0.1,0.317821
0.251189,0.158489,0.342084
0.251189,0.251189,0.366389
0.251189,0.398107,0.401905
0.251189,0.630957,0.434911
0.251189,1,0.485424
0.251189,1.58489,0.536658
0.251189,2.51189,0.600641
0.251189,3.98107,0.705845
0.251189,6.30957,0.829067
0.251189,10,0.999618
0.251189,15.8489,1
0.251189,25.1189,1
