Active Velocity,Angular diffusion coefficient,Average population per patch
5e-07,0.001,0.0
5e-07,0.00158489,0.0
5e-07,0.00251189,0.0
5e-07,0.00398107,0.0
5e-07,0.00630957,0.0
5e-07,0.01,0.0
5e-07,0.0158489,0.0
5e-07,0.0251189,0.0
5e-07,0.0398107,0.0
5e-07,0.0630957,0.0
5e-07,0.1,0.0
5e-07,0.158489,0.0044444444444444444
5e-07,0.251189,0.0044444444444444444
5e-07,0.398107,0.3333333333333333
5e-07,0.630957,0.3114577777777778
5e-07,1,0.29858133333333337
5e-07,1.58489,0.0
5e-07,2.51189,0.0
5e-07,3.98107,0.0
5e-07,6.30957,0.0
5e-07,10,0.0
1.99054e-06,0.001,0.0
1.99054e-06,0.00158489,0.0
1.99054e-06,0.00251189,0.0
1.99054e-06,0.00398107,0.0
1.99054e-06,0.00630957,0.0
1.99054e-06,0.01,0.0
1.99054e-06,0.0158489,0.0
1.99054e-06,0.0251189,0.0
1.99054e-06,0.0398107,0.0
1.99054e-06,0.0630957,0.0
1.99054e-06,0.1,0.0
1.99054e-06,0.158489,0.0044444444444444444
1.99054e-06,0.251189,0.0044444444444444444
1.99054e-06,0.398107,0.27555555555555555
1.99054e-06,0.630957,0.3466666666666667
1.99054e-06,1,0.2947444444444444
1.99054e-06,1.58489,0.0
1.99054e-06,2.51189,0.0
1.99054e-06,3.98107,0.0
1.99054e-06,6.30957,0.0
1.99054e-06,10,0.0
7.92447e-06,0.001,0.0
7.92447e-06,0.00158489,0.0
7.92447e-06,0.00251189,0.0
7.92447e-06,0.00398107,0.0
7.92447e-06,0.00630957,0.0
7.92447e-06,0.01,0.0
7.92447e-06,0.0158489,0.0
7.92447e-06,0.0251189,0.0
7.92447e-06,0.0398107,0.0
7.92447e-06,0.0630957,0.0
7.92447e-06,0.1,0.0
7.92447e-06,0.158489,0.0044444444444444444
7.92447e-06,0.251189,0.0044444444444444444
7.92447e-06,0.398107,0.19515155555555558
7.92447e-06,0.630957,0.21888533333333335
7.92447e-06,1,0.252984
7.92447e-06,1.58489,0.0
7.92447e-06,2.51189,0.0
7.92447e-06,3.98107,0.0
7.92447e-06,6.30957,0.0
7.92447e-06,10,0.0
3.15479e-05,0.001,0.0
3.15479e-05,0.00158489,0.0
3.15479e-05,0.00251189,0.0
3.15479e-05,0.00398107,0.0
3.15479e-05,0.00630957,0.0
3.15479e-05,0.01,0.0
3.15479e-05,0.0158489,0.0
3.15479e-05,0.0251189,0.0
