Active Velocity,Angular diffusion coefficient,Average population per patch
5e-07,0.0001,0.0
5e-07,0.000158489,0.0
5e-07,0.000251189,0.0
5e-07,0.000398107,0.0
5e-07,0.000630957,0.0044444444444444444
5e-07,0.001,0.0044444444444444444
5e-07,0.00158489,0.0044444444444444444
5e-07,0.00251189,0.026666666666666665
5e-07,0.00398107,1.1012622222222221
5e-07,0.00630957,0.8197466666666667
5e-07,0.01,0.33753822222222224
5e-07,0.0158489,0.0
5e-07,0.0251189,0.0
5e-07,0.0398107,0.0
5e-07,0.0630957,0.0
5e-07,0.1,0.0
5e-07,0.158489,0.0
5e-07,0.251189,0.0
5e-07,0.398107,0.0
5e-07,0.630957,0.0
5e-07,1,0.0
1.99054e-06,0.0001,0.0
1.99054e-06,0.000158489,0.0
1.99054e-06,0.000251189,0.0
1.99054e-06,0.000398107,0.0
1.99054e-06,0.000630957,0.0044444444444444444
1.99054e-06,0.001,0.0044444444444444444
1.99054e-06,0.00158489,0.0044444444444444444
1.99054e-06,0.00251189,0.026666666666666665
1.99054e-06,0.00398107,1.15764
1.99054e-06,0.00630957,0.8530977777777778
1.99054e-06,0.01,0.3018342222222222
1.99054e-06,0.0158489,0.0
1.99054e-06,0.0251189,0.0
1.99054e-06,0.0398107,0.0
1.99054e-06,0.0630957,0.0
1.99054e-06,0.1,0.0
1.99054e-06,0.158489,0.0
1.99054e-06,0.251189,0.0
1.99054e-06,0.398107,0.0
1.99054e-06,0.630957,0.0
1.99054e-06,1,0.0
7.92447e-06,0.0001,0.0
7.92447e-06,0.000158489,0.0
7.92447e-06,0.000251189,0.0
7.92447e-06,0.000398107,0.0
7.92447e-06,0.000630957,0.0044444444444444444
7.92447e-06,0.001,0.0044444444444444444
7.92447e-06,0.00158489,0.0044444444444444444
7.92447e-06,0.00251189,0.026666666666666665
7.92447e-06,0.00398107,1.0230088888888889
7.92447e-06,0.00630957,0.7321599999999999
7.92447e-06,0.01,0.37406622222222224
7.92447e-06,0.0158489,0.0
7.92447e-06,0.0251189,0.0
7.92447e-06,0.0398107,0.0
7.92447e-06,0.0630957,0.0
7.92447e-06,0.1,0.0
7.92447e-06,0.158489,0.0
7.92447e-06,0.251189,0.0
7.92447e-06,0.398107,0.0
7.92447e-06,0.630957,0.0
7.92447e-06,1,0.0
3.15479e-05,0.0001,0.0
3.15479e-05,0.000158489,0.0
3.15479e-05,0.000251189,0.0
3.15479e-05,0.000398107,0.0
3.15479e-05,0.000630957,0.0044444444444444444
3.15479e-05,0.001,0.0044444444444444444
3.15479e-05,0.00158489,0.0044444444444444444
3.15479e-05,0.00251189,0.026666666666666665
3.15479e-05,0.00398107,0.8775866666666666
3.15479e-05,0.00630957,0.7545555555555555
3.15479e-05,0.01,0.1757791111111111
3.15479e-05,0.0158489,0.0
3.15479e-05,0.0251189,0.0
3.15479e-05,0.0398107,0.0
3.15479e-05,0.0630957,0.0
3.15479e-05,0.1,0.0
3.15479e-05,0.158489,0.0
3.15479e-05,0.251189,0.0
3.15479e-05,0.398107,0.0
3.15479e-05,0.630957,0.0
3.15479e-05,1,0.0
0.000125594,0.0001,0.0
0.000125594,0.000158489,0.0
0.000125594,0.000251189,0.0
0.000125594,0.000398107,0.0
0.000125594,0.000630957,0.0044444444444444444
0.000125594,0.001,0.0044444444444444444
0.000125594,0.00158489,0.0044444444444444444
0.000125594,0.00251189,0.026666666666666665
0.000125594,0.00398107,0.7794800000000001
0.000125594,0.00630957,0.6769644444444445
0.000125594,0.01,0.06076088888888889
0.000125594,0.0158489,0.0
0.000125594,0.0251189,0.0
0.000125594,0.0398107,0.0
0.000125594,0.0630957,0.0
0.000125594,0.1,0.0
0.000125594,0.158489,0.0
0.000125594,0.251189,0.0
0.000125594,0.398107,0.0
0.000125594,0.630957,0.0
0.000125594,1,0.0
0.0005,0.0001,0.0
0.0005,0.000158489,0.0
0.0005,0.000251189,0.0
0.0005,0.000398107,0.0
0.0005,0.000630957,0.0044444444444444444
0.0005,0.001,0.0044444444444444444
0.0005,0.00158489,0.0044444444444444444
0.0005,0.00251189,0.026666666666666665
0.0005,0.00398107,0.5675866666666667
0.0005,0.00630957,0.6153022222222223
0.0005,0.01,0.004521777777777778
0.0005,0.0158489,0.0
0.0005,0.0251189,0.0
0.0005,0.0398107,0.0
0.0005,0.0630957,0.0
0.0005,0.1,0.0
0.0005,0.158489,0.0
0.0005,0.251189,0.0
0.0005,0.398107,0.0
0.0005,0.630957,0.0
0.0005,1,0.0
0.00199054,0.0001,0.0
0.00199054,0.000158489,0.0
0.00199054,0.000251189,0.0
0.00199054,0.000398107,0.0
0.00199054,0.000630957,0.0044444444444444444
0.00199054,0.001,0.0044444444444444444
0.00199054,0.00158489,0.0044444444444444444
0.00199054,0.00251189,0.026666666666666665
0.00199054,0.00398107,0.4269475555555555
0.00199054,0.00630957,0.6044222222222222
0.00199054,0.01,0.011712
0.00199054,0.0158489,0.0
0.00199054,0.0251189,0.0
0.00199054,0.0398107,0.0
0.00199054,0.0630957,0.0
0.00199054,0.1,0.0
0.00199054,0.158489,0.0
0.00199054,0.251189,0.0
