Active Velocity,Angular diffusion coefficient,Average population per patch
5e-07,0.0001,0.0
5e-07,0.000158489,0.0
5e-07,0.000251189,0.0
5e-07,0.000398107,0.0
5e-07,0.000630957,0.9955555555555555
5e-07,0.001,0.7831288888888889
5e-07,0.00158489,0.5066666666666667
5e-07,0.00251189,0.349644
5e-07,0.00398107,0.31591288888888885
5e-07,0.00630957,0.3703964444444445
5e-07,0.01,0.30746
5e-07,0.0158489,0.4001315555555556
5e-07,0.0251189,0.40854444444444443
5e-07,0.0398107,0.4148977777777778
5e-07,0.0630957,0.3436373333333333
5e-07,0.1,0.34438355555555555
5e-07,0.158489,0.33546044444444445
5e-07,0.251189,0.32170088888888887
5e-07,0.398107,0.2973715555555556
5e-07,0.630957,0.36613466666666666
5e-07,1,0.3639591111111111
1.99054e-06,0.0001,0.0
1.99054e-06,0.000158489,0.0
1.99054e-06,0.000251189,0.0
1.99054e-06,0.000398107,0.0
1.99054e-06,0.000630957,0.9511111111111111
1.99054e-06,0.001,0.8444444444444444
1.99054e-06,0.00158489,0.5422222222222223
1.99054e-06,0.00251189,0.21668711111111114
1.99054e-06,0.00398107,0.3659346666666667
1.99054e-06,0.00630957,0.35736844444444443
1.99054e-06,0.01,0.38185644444444444
1.99054e-06,0.0158489,0.3283151111111111
1.99054e-06,0.0251189,0.3252786666666667
1.99054e-06,0.0398107,0.36819066666666667
1.99054e-06,0.0630957,0.2801786666666667
1.99054e-06,0.1,0.3996835555555555
1.99054e-06,0.158489,0.36285688888888884
1.99054e-06,0.251189,0.38748933333333335
1.99054e-06,0.398107,0.3747862222222222
1.99054e-06,0.630957,0.3342728888888889
1.99054e-06,1,0.3347626666666667
7.92447e-06,0.0001,0.0
7.92447e-06,0.000158489,0.0
7.92447e-06,0.000251189,0.0
7.92447e-06,0.000398107,0.0
7.92447e-06,0.000630957,1.031111111111111
7.92447e-06,0.001,0.7733333333333333
7.92447e-06,0.00158489,0.46839111111111115
7.92447e-06,0.00251189,0.28632133333333337
7.92447e-06,0.00398107,0.2545831111111111
7.92447e-06,0.00630957,0.30398044444444444
7.92447e-06,0.01,0.2912062222222222
7.92447e-06,0.0158489,0.31154000000000004
7.92447e-06,0.0251189,0.2845675555555555
7.92447e-06,0.0398107,0.33015777777777777
7.92447e-06,0.0630957,0.29648844444444444
7.92447e-06,0.1,0.22960666666666665
7.92447e-06,0.158489,0.2714902222222222
7.92447e-06,0.251189,0.35398444444444443
7.92447e-06,0.398107,0.264552
7.92447e-06,0.630957,0.3145697777777778
7.92447e-06,1,0.3555071111111111
3.15479e-05,0.0001,0.0
3.15479e-05,0.000158489,0.0
3.15479e-05,0.000251189,0.0
3.15479e-05,0.000398107,0.0
3.15479e-05,0.000630957,0.96
3.15479e-05,0.001,0.7124577777777777
3.15479e-05,0.00158489,0.3930697777777778
3.15479e-05,0.00251189,0.21773155555555557
3.15479e-05,0.00398107,0.22214533333333333
3.15479e-05,0.00630957,0.1680671111111111
3.15479e-05,0.01,0.18211333333333332
3.15479e-05,0.0158489,0.1826591111111111
3.15479e-05,0.0251189,0.16906755555555555
3.15479e-05,0.0398107,0.16350266666666666
3.15479e-05,0.0630957,0.1692688888888889
3.15479e-05,0.1,0.17465822222222221
3.15479e-05,0.158489,0.21446933333333335
3.15479e-05,0.251189,0.1343497777777778
3.15479e-05,0.398107,0.13376222222222223
3.15479e-05,0.630957,0.19148044444444445
3.15479e-05,1,0.15703511111111113
0.000125594,0.0001,0.0
0.000125594,0.000158489,0.0
0.000125594,0.000251189,0.0
0.000125594,0.000398107,0.0
0.000125594,0.000630957,0.9911111111111112
0.000125594,0.001,0.7208666666666667
0.000125594,0.00158489,0.3414688888888889
0.000125594,0.00251189,0.14407555555555557
0.000125594,0.00398107,0.14057155555555556
0.000125594,0.00630957,0.05240622222222222
0.000125594,0.01,0.03728755555555555
0.000125594,0.0158489,0.02543288888888889
0.000125594,0.0251189,0.033515555555555555
0.000125594,0.0398107,0.05582977777777778
0.000125594,0.0630957,0.03685422222222222
0.000125594,0.1,0.046290222222222226
0.000125594,0.158489,0.060748
0.000125594,0.251189,0.0630151111111111
0.000125594,0.398107,0.01646711111111111
0.000125594,0.630957,0.040002222222222224
0.000125594,1,0.042356
0.0005,0.0001,0.0
0.0005,0.000158489,0.0
0.0005,0.000251189,0.0
0.0005,0.000398107,0.0
0.0005,0.000630957,1.0136399999999999
0.0005,0.001,0.5895911111111111
0.0005,0.00158489,0.2637582222222222
0.0005,0.00251189,0.0979848888888889
0.0005,0.00398107,0.08999955555555555
0.0005,0.00630957,0.0023573333333333332
0.0005,0.01,0.005222666666666667
0.0005,0.0158489,0.006212444444444444
0.0005,0.0251189,0.006811555555555555
0.0005,0.0398107,0.0
0.0005,0.0630957,0.01685333333333333
0.0005,0.1,0.0
0.0005,0.158489,0.002744888888888889
0.0005,0.251189,0.0033888888888888888
0.0005,0.398107,0.0038555555555555556
0.0005,0.630957,0.001591111111111111
0.0005,1,0.0009991111111111112
0.00199054,0.0001,0.0
0.00199054,0.000158489,0.0
0.00199054,0.000251189,0.0
0.00199054,0.000398107,0.0
